,value
num_documents,951
num_segments,7893
avg_segments_per_doc,8.308421052631578
avg_segment_length_words,226.43608260483973
num_unique_tags,1702
top_20_tags,"{'Strategies: Governance development': 81, 'Harms: Violation of civil or human rights': 77, 'including privacy': 71, 'registration': 55, 'Strategies: Government study or report': 33, 'Strategies: Convening': 28, 'Strategies: Disclosure': 27, 'life sciences and public health': 24, 'Applications: Medicine': 24, 'Strategies: Licensing': 22, 'Incentives: Civil liability': 17, 'and certification': 17, 'Applications: Government: military and public safety': 15, 'Risk factors: Bias;Harms: Violation of civil or human rights': 14, 'Strategies: Government support': 14, 'Strategies: New institution': 13, 'Risk factors: Privacy;Harms: Violation of civil or human rights': 12, 'Applications: Government: other applications/unspecified': 11, 'travel': 11, 'leisure': 11}"
